judging from previous posts this used to be a good place , but not any longer . [A] [O] [S] [C]	[A] place [O] not any longer [S] bad [C] restaurant general
the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern . [A] [S] [O] [C]	[A] place [S] bad [O] sleek [C] ambience general [SSEP] [A] place [S] bad [O] modern [C] ambience general [SSEP] [A] decor [S] good [O] night [C] ambience general [SSEP] [A] vent [S] bad [O] un - appetizing [C] ambience general
the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern . [O] [A] [C] [S]	[O] sleek [A] place [C] ambience general [S] bad [SSEP] [O] modern [A] place [C] ambience general [S] bad [SSEP] [O] night [A] decor [C] ambience general [S] good [SSEP] [O] un - appetizing [A] vent [C] ambience general [S] bad
the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern . [O] [A] [S] [C]	[O] sleek [A] place [S] bad [C] ambience general [SSEP] [O] modern [A] place [S] bad [C] ambience general [SSEP] [O] night [A] decor [S] good [C] ambience general [SSEP] [O] un - appetizing [A] vent [S] bad [C] ambience general
we went around 9 : 30 on a friday and it had died down a bit by then so the service was great ! [A] [O] [S] [C]	[A] service [O] great [S] good [C] service general
we went around 9 : 30 on a friday and it had died down a bit by then so the service was great ! [A] [O] [C] [S]	[A] service [O] great [C] service general [S] good
we went around 9 : 30 on a friday and it had died down a bit by then so the service was great ! [A] [S] [O] [C]	[A] service [S] good [O] great [C] service general
we went around 9 : 30 on a friday and it had died down a bit by then so the service was great ! [O] [A] [C] [S]	[O] great [A] service [C] service general [S] good
we went around 9 : 30 on a friday and it had died down a bit by then so the service was great ! [O] [A] [S] [C]	[O] great [A] service [S] good [C] service general
the perfect spot . [A] [O] [S] [C]	[A] spot [O] perfect [S] good [C] restaurant general
the perfect spot . [A] [O] [C] [S]	[A] spot [O] perfect [C] restaurant general [S] good
the perfect spot . [A] [S] [O] [C]	[A] spot [S] good [O] perfect [C] restaurant general
the perfect spot . [O] [A] [C] [S]	[O] perfect [A] spot [C] restaurant general [S] good
the perfect spot . [O] [A] [S] [C]	[O] perfect [A] spot [S] good [C] restaurant general
food - awesome . [A] [O] [S] [C]	[A] food [O] awesome [S] ok [C] food quality
food - awesome . [A] [O] [C] [S]	[A] food [O] awesome [C] food quality [S] ok
food - awesome . [A] [S] [O] [C]	[A] food [S] ok [O] awesome [C] food quality
food - awesome . [O] [A] [C] [S]	[O] awesome [A] food [C] food quality [S] ok
food - awesome . [O] [A] [S] [C]	[O] awesome [A] food [S] ok [C] food quality
service - friendly and attentive . [A] [O] [S] [C]	[A] service [O] friendly [S] good [C] service general [SSEP] [A] service [O] attentive [S] good [C] service general
service - friendly and attentive . [A] [O] [C] [S]	[A] service [O] friendly [C] service general [S] good [SSEP] [A] service [O] attentive [C] service general [S] good
service - friendly and attentive . [A] [S] [O] [C]	[A] service [S] good [O] friendly [C] service general [SSEP] [A] service [S] good [O] attentive [C] service general
service - friendly and attentive . [O] [A] [C] [S]	[O] friendly [A] service [C] service general [S] good [SSEP] [O] attentive [A] service [C] service general [S] good
service - friendly and attentive . [O] [A] [S] [C]	[O] friendly [A] service [S] good [C] service general [SSEP] [O] attentive [A] service [S] good [C] service general
ambiance - relaxed and stylish . [A] [O] [S] [C]	[A] ambiance [O] relaxed [S] good [C] ambience general [SSEP] [A] ambiance [O] stylish [S] good [C] ambience general
ambiance - relaxed and stylish . [A] [O] [C] [S]	[A] ambiance [O] relaxed [C] ambience general [S] good [SSEP] [A] ambiance [O] stylish [C] ambience general [S] good
ambiance - relaxed and stylish . [A] [S] [O] [C]	[A] ambiance [S] good [O] relaxed [C] ambience general [SSEP] [A] ambiance [S] good [O] stylish [C] ambience general
ambiance - relaxed and stylish . [O] [A] [C] [S]	[O] relaxed [A] ambiance [C] ambience general [S] good [SSEP] [O] stylish [A] ambiance [C] ambience general [S] good
ambiance - relaxed and stylish . [O] [A] [S] [C]	[O] relaxed [A] ambiance [S] good [C] ambience general [SSEP] [O] stylish [A] ambiance [S] good [C] ambience general
do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . [A] [O] [S] [C]	[A] place [O] null [S] good [C] restaurant general
do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . [A] [O] [C] [S]	[A] place [O] null [C] restaurant general [S] good
do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . [A] [S] [O] [C]	[A] place [S] good [O] null [C] restaurant general
do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . [O] [A] [C] [S]	[O] null [A] place [C] restaurant general [S] good
do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . [O] [A] [S] [C]	[O] null [A] place [S] good [C] restaurant general
the food is decent . [A] [O] [S] [C]	[A] food [O] decent [S] ok [C] food quality
the food is decent . [A] [O] [C] [S]	[A] food [O] decent [C] food quality [S] ok
the food is decent . [A] [S] [O] [C]	[A] food [S] ok [O] decent [C] food quality
the food is decent . [O] [A] [C] [S]	[O] decent [A] food [C] food quality [S] ok
