judging from previous posts this used to be a good place , but not any longer . [A] [O] [S]	[A] place [O] good [S] bad
the duck confit is always amazing and the foie gras terrine with figs was out of this world . [O] [A] [S]	[O] out of this world [A] foie gras terrine with figs [S] good [SSEP] [O] amazing [A] duck confit [S] good
the duck confit is always amazing and the foie gras terrine with figs was out of this world . [O] [S] [A]	[O] out of this world [S] good [A] foie gras terrine with figs [SSEP] [O] amazing [S] good [A] duck confit
the duck confit is always amazing and the foie gras terrine with figs was out of this world . [A] [S] [O]	[A] foie gras terrine with figs [S] good [O] out of this world [SSEP] [A] duck confit [S] good [O] amazing
the duck confit is always amazing and the foie gras terrine with figs was out of this world . [S] [O] [A]	[S] good [O] out of this world [A] foie gras terrine with figs [SSEP] [S] good [O] amazing [A] duck confit
the wine list is interesting and has many good values . [A] [O] [S]	[A] wine list [O] interesting [S] good [SSEP] [A] wine list [O] good values [S] good
the wine list is interesting and has many good values . [O] [A] [S]	[O] interesting [A] wine list [S] good [SSEP] [O] good values [A] wine list [S] good
the wine list is interesting and has many good values . [O] [S] [A]	[O] interesting [S] good [A] wine list [SSEP] [O] good values [S] good [A] wine list
the wine list is interesting and has many good values . [A] [S] [O]	[A] wine list [S] good [O] interesting [SSEP] [A] wine list [S] good [O] good values
the wine list is interesting and has many good values . [S] [O] [A]	[S] good [O] interesting [A] wine list [SSEP] [S] good [O] good values [A] wine list
i was very disappointed with this restaurant . [A] [O] [S]	[A] restaurant [O] disappointed [S] bad
i was very disappointed with this restaurant . [O] [A] [S]	[O] disappointed [A] restaurant [S] bad
i was very disappointed with this restaurant . [O] [S] [A]	[O] disappointed [S] bad [A] restaurant
i was very disappointed with this restaurant . [A] [S] [O]	[A] restaurant [S] bad [O] disappointed
i was very disappointed with this restaurant . [S] [O] [A]	[S] bad [O] disappointed [A] restaurant
food was okay , nothing great . [A] [O] [S]	[A] food [O] okay [S] ok [SSEP] [A] food [O] nothing great [S] ok
food was okay , nothing great . [O] [A] [S]	[O] okay [A] food [S] ok [SSEP] [O] nothing great [A] food [S] ok
food was okay , nothing great . [O] [S] [A]	[O] okay [S] ok [A] food [SSEP] [O] nothing great [S] ok [A] food
food was okay , nothing great . [A] [S] [O]	[A] food [S] ok [O] okay [SSEP] [A] food [S] ok [O] nothing great
food was okay , nothing great . [S] [O] [A]	[S] ok [O] okay [A] food [SSEP] [S] ok [O] nothing great [A] food
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . [A] [O] [S]	[A] chow fun [O] dry [S] bad [SSEP] [A] pork shu mai [O] greasy [S] bad
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . [O] [A] [S]	[O] dry [A] chow fun [S] bad [SSEP] [O] greasy [A] pork shu mai [S] bad
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . [O] [S] [A]	[O] dry [S] bad [A] chow fun [SSEP] [O] greasy [S] bad [A] pork shu mai
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . [A] [S] [O]	[A] chow fun [S] bad [O] dry [SSEP] [A] pork shu mai [S] bad [O] greasy
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . [S] [O] [A]	[S] bad [O] dry [A] chow fun [SSEP] [S] bad [O] greasy [A] pork shu mai
i/we will never go back to this place again . [A] [O] [S]	[A] place [O] never go back [S] bad
i/we will never go back to this place again . [O] [A] [S]	[O] never go back [A] place [S] bad
i/we will never go back to this place again . [O] [S] [A]	[O] never go back [S] bad [A] place
i/we will never go back to this place again . [A] [S] [O]	[A] place [S] bad [O] never go back
i/we will never go back to this place again . [S] [O] [A]	[S] bad [O] never go back [A] place
service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! ! [A] [O] [S]	[A] service [O] devine [S] good [SSEP] [A] oysters [O] sensual [S] good
service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! ! [O] [A] [S]	[O] devine [A] service [S] good [SSEP] [O] sensual [A] oysters [S] good
service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! ! [O] [S] [A]	[O] devine [S] good [A] service [SSEP] [O] sensual [S] good [A] oysters
service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! ! [A] [S] [O]	[A] service [S] good [O] devine [SSEP] [A] oysters [S] good [O] sensual
service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! ! [S] [O] [A]	[S] good [O] devine [A] service [SSEP] [S] good [O] sensual [A] oysters
everything is always cooked to perfection , the service is excellent , the decor cool and understated . [A] [O] [S]	[A] service [O] excellent [S] good [SSEP] [A] decor [O] cool [S] good [SSEP] [A] decor [O] understated [S] good
everything is always cooked to perfection , the service is excellent , the decor cool and understated . [O] [A] [S]	[O] excellent [A] service [S] good [SSEP] [O] cool [A] decor [S] good [SSEP] [O] understated [A] decor [S] good
everything is always cooked to perfection , the service is excellent , the decor cool and understated . [O] [S] [A]	[O] excellent [S] good [A] service [SSEP] [O] cool [S] good [A] decor [SSEP] [O] understated [S] good [A] decor
everything is always cooked to perfection , the service is excellent , the decor cool and understated . [A] [S] [O]	[A] service [S] good [O] excellent [SSEP] [A] decor [S] good [O] cool [SSEP] [A] decor [S] good [O] understated
everything is always cooked to perfection , the service is excellent , the decor cool and understated . [S] [O] [A]	[S] good [O] excellent [A] service [SSEP] [S] good [O] cool [A] decor [SSEP] [S] good [O] understated [A] decor
i had the duck breast special on my last visit and it was incredible . [A] [O] [S]	[A] duck breast special [O] incredible [S] good
i had the duck breast special on my last visit and it was incredible . [O] [A] [S]	[O] incredible [A] duck breast special [S] good
i had the duck breast special on my last visit and it was incredible . [O] [S] [A]	[O] incredible [S] good [A] duck breast special
i had the duck breast special on my last visit and it was incredible . [A] [S] [O]	[A] duck breast special [S] good [O] incredible
i had the duck breast special on my last visit and it was incredible . [S] [O] [A]	[S] good [O] incredible [A] duck breast special
the only thing i moderately enjoyed was their grilled chicken special with edamame puree . [A] [O] [S]	[A] grilled chicken special with edamame puree [O] enjoyed [S] good
the only thing i moderately enjoyed was their grilled chicken special with edamame puree . [O] [A] [S]	[O] enjoyed [A] grilled chicken special with edamame puree [S] good
the only thing i moderately enjoyed was their grilled chicken special with edamame puree . [O] [S] [A]	[O] enjoyed [S] good [A] grilled chicken special with edamame puree
the only thing i moderately enjoyed was their grilled chicken special with edamame puree . [A] [S] [O]	[A] grilled chicken special with edamame puree [S] good [O] enjoyed
the only thing i moderately enjoyed was their grilled chicken special with edamame puree . [S] [O] [A]	[S] good [O] enjoyed [A] grilled chicken special with edamame puree
i had never had edamame pureed before but i thought it was innovative and tasty ( could 've used a bit more salt ) . [A] [O] [S]	[A] edamame pureed [O] innovative [S] good [SSEP] [A] edamame pureed [O] tasty [S] good
i had never had edamame pureed before but i thought it was innovative and tasty ( could 've used a bit more salt ) . [O] [A] [S]	[O] innovative [A] edamame pureed [S] good [SSEP] [O] tasty [A] edamame pureed [S] good
i had never had edamame pureed before but i thought it was innovative and tasty ( could 've used a bit more salt ) . [O] [S] [A]	[O] innovative [S] good [A] edamame pureed [SSEP] [O] tasty [S] good [A] edamame pureed
i had never had edamame pureed before but i thought it was innovative and tasty ( could 've used a bit more salt ) . [A] [S] [O]	[A] edamame pureed [S] good [O] innovative [SSEP] [A] edamame pureed [S] good [O] tasty
i had never had edamame pureed before but i thought it was innovative and tasty ( could 've used a bit more salt ) . [S] [O] [A]	[S] good [O] innovative [A] edamame pureed [SSEP] [S] good [O] tasty [A] edamame pureed
their sake list was extensive , but we were looking for purple haze , which was n't listed but made for us upon request ! [A] [O] [S]	[A] sake list [O] extensive [S] good
their sake list was extensive , but we were looking for purple haze , which was n't listed but made for us upon request ! [O] [A] [S]	[O] extensive [A] sake list [S] good
their sake list was extensive , but we were looking for purple haze , which was n't listed but made for us upon request ! [O] [S] [A]	[O] extensive [S] good [A] sake list
their sake list was extensive , but we were looking for purple haze , which was n't listed but made for us upon request ! [A] [S] [O]	[A] sake list [S] good [O] extensive
their sake list was extensive , but we were looking for purple haze , which was n't listed but made for us upon request ! [S] [O] [A]	[S] good [O] extensive [A] sake list
we went around 9:30 on a friday and it had died down a bit by then so the service was great ! [A] [O] [S]	[A] service [O] great [S] good
we went around 9:30 on a friday and it had died down a bit by then so the service was great ! [O] [A] [S]	[O] great [A] service [S] good
we went around 9:30 on a friday and it had died down a bit by then so the service was great ! [O] [S] [A]	[O] great [S] good [A] service
we went around 9:30 on a friday and it had died down a bit by then so the service was great ! [A] [S] [O]	[A] service [S] good [O] great
we went around 9:30 on a friday and it had died down a bit by then so the service was great ! [S] [O] [A]	[S] good [O] great [A] service
food awesome . [A] [O] [S]	[A] food [O] awesome [S] good
food awesome . [O] [A] [S]	[O] awesome [A] food [S] good
food awesome . [O] [S] [A]	[O] awesome [S] good [A] food
food awesome . [A] [S] [O]	[A] food [S] good [O] awesome
food awesome . [S] [O] [A]	[S] good [O] awesome [A] food
service friendly and attentive . [A] [O] [S]	[A] service [O] friendly [S] good [SSEP] [A] service [O] attentive [S] good
service friendly and attentive . [O] [A] [S]	[O] friendly [A] service [S] good [SSEP] [O] attentive [A] service [S] good
service friendly and attentive . [O] [S] [A]	[O] friendly [S] good [A] service [SSEP] [O] attentive [S] good [A] service
service friendly and attentive . [A] [S] [O]	[A] service [S] good [O] friendly [SSEP] [A] service [S] good [O] attentive
service friendly and attentive . [S] [O] [A]	[S] good [O] friendly [A] service [SSEP] [S] good [O] attentive [A] service
the food is decent . [A] [O] [S]	[A] food [O] decent [S] ok
the food is decent . [O] [A] [S]	[O] decent [A] food [S] ok
the food is decent . [O] [S] [A]	[O] decent [S] ok [A] food
the food is decent . [A] [S] [O]	[A] food [S] ok [O] decent
the food is decent . [S] [O] [A]	[S] ok [O] decent [A] food
this place has got to be the best japanese restaurant in the new york area . [A] [O] [S]	[A] place [O] best [S] good
this place has got to be the best japanese restaurant in the new york area . [O] [A] [S]	[O] best [A] place [S] good
this place has got to be the best japanese restaurant in the new york area . [O] [S] [A]	[O] best [S] good [A] place
this place has got to be the best japanese restaurant in the new york area . [A] [S] [O]	[A] place [S] good [O] best
this place has got to be the best japanese restaurant in the new york area . [S] [O] [A]	[S] good [O] best [A] place
food is great . [A] [O] [S]	[A] food [O] great [S] good
food is great . [O] [A] [S]	[O] great [A] food [S] good
food is great . [O] [S] [A]	[O] great [S] good [A] food
food is great . [A] [S] [O]	[A] food [S] good [O] great
food is great . [S] [O] [A]	[S] good [O] great [A] food
service is top notch . [A] [O] [S]	[A] service [O] top notch [S] good
service is top notch . [O] [A] [S]	[O] top notch [A] service [S] good
service is top notch . [O] [S] [A]	[O] top notch [S] good [A] service
service is top notch . [A] [S] [O]	[A] service [S] good [O] top notch
service is top notch . [S] [O] [A]	[S] good [O] top notch [A] service
we took advanatage of the half price sushi deal on saturday so it was well worth it . [A] [O] [S]	[A] half price sushi deal [O] worth [S] good
we took advanatage of the half price sushi deal on saturday so it was well worth it . [O] [A] [S]	[O] worth [A] half price sushi deal [S] good
we took advanatage of the half price sushi deal on saturday so it was well worth it . [O] [S] [A]	[O] worth [S] good [A] half price sushi deal
we took advanatage of the half price sushi deal on saturday so it was well worth it . [A] [S] [O]	[A] half price sushi deal [S] good [O] worth
we took advanatage of the half price sushi deal on saturday so it was well worth it . [S] [O] [A]	[S] good [O] worth [A] half price sushi deal
in the evening , this place attracted a well dressed , with it , ny crowd . [A] [O] [S]	[A] crowd [O] attracted [S] good
in the evening , this place attracted a well dressed , with it , ny crowd . [O] [A] [S]	[O] attracted [A] crowd [S] good
in the evening , this place attracted a well dressed , with it , ny crowd . [O] [S] [A]	[O] attracted [S] good [A] crowd
in the evening , this place attracted a well dressed , with it , ny crowd . [A] [S] [O]	[A] crowd [S] good [O] attracted
in the evening , this place attracted a well dressed , with it , ny crowd . [S] [O] [A]	[S] good [O] attracted [A] crowd
$ 6 and there is much tasty food , all of it fresh and continually refilled . [A] [O] [S]	[A] food [O] tasty [S] good [SSEP] [A] food [O] fresh [S] good [SSEP] [A] food [O] refilled [S] good
$ 6 and there is much tasty food , all of it fresh and continually refilled . [O] [A] [S]	[O] tasty [A] food [S] good [SSEP] [O] fresh [A] food [S] good [SSEP] [O] refilled [A] food [S] good
$ 6 and there is much tasty food , all of it fresh and continually refilled . [O] [S] [A]	[O] tasty [S] good [A] food [SSEP] [O] fresh [S] good [A] food [SSEP] [O] refilled [S] good [A] food
$ 6 and there is much tasty food , all of it fresh and continually refilled . [A] [S] [O]	[A] food [S] good [O] tasty [SSEP] [A] food [S] good [O] fresh [SSEP] [A] food [S] good [O] refilled
$ 6 and there is much tasty food , all of it fresh and continually refilled . [S] [O] [A]	[S] good [O] tasty [A] food [SSEP] [S] good [O] fresh [A] food [SSEP] [S] good [O] refilled [A] food
i am not a vegetarian but , almost all the dishes were great . [A] [O] [S]	[A] dishes [O] great [S] good
i am not a vegetarian but , almost all the dishes were great . [O] [A] [S]	[O] great [A] dishes [S] good
i am not a vegetarian but , almost all the dishes were great . [O] [S] [A]	[O] great [S] good [A] dishes
i am not a vegetarian but , almost all the dishes were great . [A] [S] [O]	[A] dishes [S] good [O] great
i am not a vegetarian but , almost all the dishes were great . [S] [O] [A]	[S] good [O] great [A] dishes
the food here is rather good , but only if you like to wait for it . [A] [O] [S]	[A] food [O] good [S] good
the food here is rather good , but only if you like to wait for it . [O] [A] [S]	[O] good [A] food [S] good
the food here is rather good , but only if you like to wait for it . [O] [S] [A]	[O] good [S] good [A] food
the food here is rather good , but only if you like to wait for it . [A] [S] [O]	[A] food [S] good [O] good
the food here is rather good , but only if you like to wait for it . [S] [O] [A]	[S] good [O] good [A] food
i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing . [A] [O] [S]	[A] somosas [O] like [S] good [SSEP] [A] chai [O] like [S] good [SSEP] [A] chole [O] like [S] good [SSEP] [A] dhosas [O] disappointing [S] bad [SSEP] [A] dhal [O] disappointing [S] bad
i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing . [O] [A] [S]	[O] like [A] somosas [S] good [SSEP] [O] like [A] chai [S] good [SSEP] [O] like [A] chole [S] good [SSEP] [O] disappointing [A] dhosas [S] bad [SSEP] [O] disappointing [A] dhal [S] bad
i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing . [O] [S] [A]	[O] like [S] good [A] somosas [SSEP] [O] like [S] good [A] chai [SSEP] [O] like [S] good [A] chole [SSEP] [O] disappointing [S] bad [A] dhosas [SSEP] [O] disappointing [S] bad [A] dhal
i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing . [A] [S] [O]	[A] somosas [S] good [O] like [SSEP] [A] chai [S] good [O] like [SSEP] [A] chole [S] good [O] like [SSEP] [A] dhosas [S] bad [O] disappointing [SSEP] [A] dhal [S] bad [O] disappointing
i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing . [S] [O] [A]	[S] good [O] like [A] somosas [SSEP] [S] good [O] like [A] chai [SSEP] [S] good [O] like [A] chole [SSEP] [S] bad [O] disappointing [A] dhosas [SSEP] [S] bad [O] disappointing [A] dhal
the service varys from day to day- sometimes they 're very nice , and sometimes not . [A] [O] [S]	[A] service [O] varys [S] bad
the service varys from day to day- sometimes they 're very nice , and sometimes not . [O] [A] [S]	[O] varys [A] service [S] bad
the service varys from day to day- sometimes they 're very nice , and sometimes not . [O] [S] [A]	[O] varys [S] bad [A] service
the service varys from day to day- sometimes they 're very nice , and sometimes not . [A] [S] [O]	[A] service [S] bad [O] varys
the service varys from day to day- sometimes they 're very nice , and sometimes not . [S] [O] [A]	[S] bad [O] varys [A] service
also , specify if you like your food spicy- its rather bland if you do n't . [A] [O] [S]	[A] food [O] bland [S] bad
also , specify if you like your food spicy- its rather bland if you do n't . [O] [A] [S]	[O] bland [A] food [S] bad
also , specify if you like your food spicy- its rather bland if you do n't . [O] [S] [A]	[O] bland [S] bad [A] food
also , specify if you like your food spicy- its rather bland if you do n't . [A] [S] [O]	[A] food [S] bad [O] bland
also , specify if you like your food spicy- its rather bland if you do n't . [S] [O] [A]	[S] bad [O] bland [A] food
the ambience is pretty and nice for conversation , so a casual lunch here would probably be best . [A] [O] [S]	[A] ambience [O] pretty [S] good [SSEP] [A] ambience [O] nice [S] good
the ambience is pretty and nice for conversation , so a casual lunch here would probably be best . [O] [A] [S]	[O] pretty [A] ambience [S] good [SSEP] [O] nice [A] ambience [S] good
the ambience is pretty and nice for conversation , so a casual lunch here would probably be best . [O] [S] [A]	[O] pretty [S] good [A] ambience [SSEP] [O] nice [S] good [A] ambience
the ambience is pretty and nice for conversation , so a casual lunch here would probably be best . [A] [S] [O]	[A] ambience [S] good [O] pretty [SSEP] [A] ambience [S] good [O] nice
the ambience is pretty and nice for conversation , so a casual lunch here would probably be best . [S] [O] [A]	[S] good [O] pretty [A] ambience [SSEP] [S] good [O] nice [A] ambience
the lava cake dessert was incredible and i recommend it . [A] [O] [S]	[A] lava cake dessert [O] incredible [S] good [SSEP] [A] lava cake dessert [O] recommend [S] good
the lava cake dessert was incredible and i recommend it . [O] [A] [S]	[O] incredible [A] lava cake dessert [S] good [SSEP] [O] recommend [A] lava cake dessert [S] good
the lava cake dessert was incredible and i recommend it . [O] [S] [A]	[O] incredible [S] good [A] lava cake dessert [SSEP] [O] recommend [S] good [A] lava cake dessert
the lava cake dessert was incredible and i recommend it . [A] [S] [O]	[A] lava cake dessert [S] good [O] incredible [SSEP] [A] lava cake dessert [S] good [O] recommend
the lava cake dessert was incredible and i recommend it . [S] [O] [A]	[S] good [O] incredible [A] lava cake dessert [SSEP] [S] good [O] recommend [A] lava cake dessert
once you step into cosette , you 're miraculously in a small , off-the-beaten path parisian bistro . [A] [O] [S]	[A] cosette [O] off-the-beaten [S] good
once you step into cosette , you 're miraculously in a small , off-the-beaten path parisian bistro . [O] [A] [S]	[O] off-the-beaten [A] cosette [S] good
once you step into cosette , you 're miraculously in a small , off-the-beaten path parisian bistro . [O] [S] [A]	[O] off-the-beaten [S] good [A] cosette
once you step into cosette , you 're miraculously in a small , off-the-beaten path parisian bistro . [A] [S] [O]	[A] cosette [S] good [O] off-the-beaten
once you step into cosette , you 're miraculously in a small , off-the-beaten path parisian bistro . [S] [O] [A]	[S] good [O] off-the-beaten [A] cosette
this tiny restaurant is as cozy as it gets , with that certain parisian flair . [A] [O] [S]	[A] restaurant [O] tiny [S] good [SSEP] [A] restaurant [O] cozy [S] good
this tiny restaurant is as cozy as it gets , with that certain parisian flair . [O] [A] [S]	[O] tiny [A] restaurant [S] good [SSEP] [O] cozy [A] restaurant [S] good
this tiny restaurant is as cozy as it gets , with that certain parisian flair . [O] [S] [A]	[O] tiny [S] good [A] restaurant [SSEP] [O] cozy [S] good [A] restaurant
this tiny restaurant is as cozy as it gets , with that certain parisian flair . [A] [S] [O]	[A] restaurant [S] good [O] tiny [SSEP] [A] restaurant [S] good [O] cozy
this tiny restaurant is as cozy as it gets , with that certain parisian flair . [S] [O] [A]	[S] good [O] tiny [A] restaurant [SSEP] [S] good [O] cozy [A] restaurant
the pizza was delivered cold and the cheese was n't even fully melted ! [A] [O] [S]	[A] pizza [O] cold [S] bad [SSEP] [A] cheese [O] was n't even fully melted [S] bad
the pizza was delivered cold and the cheese was n't even fully melted ! [O] [A] [S]	[O] cold [A] pizza [S] bad [SSEP] [O] was n't even fully melted [A] cheese [S] bad
the pizza was delivered cold and the cheese was n't even fully melted ! [O] [S] [A]	[O] cold [S] bad [A] pizza [SSEP] [O] was n't even fully melted [S] bad [A] cheese
the pizza was delivered cold and the cheese was n't even fully melted ! [A] [S] [O]	[A] pizza [S] bad [O] cold [SSEP] [A] cheese [S] bad [O] was n't even fully melted
the pizza was delivered cold and the cheese was n't even fully melted ! [S] [O] [A]	[S] bad [O] cold [A] pizza [SSEP] [S] bad [O] was n't even fully melted [A] cheese
the pizza is overpriced and soggy . [A] [O] [S]	[A] pizza [O] overpriced [S] bad [SSEP] [A] pizza [O] soggy [S] bad
the pizza is overpriced and soggy . [O] [A] [S]	[O] overpriced [A] pizza [S] bad [SSEP] [O] soggy [A] pizza [S] bad
the pizza is overpriced and soggy . [O] [S] [A]	[O] overpriced [S] bad [A] pizza [SSEP] [O] soggy [S] bad [A] pizza
the pizza is overpriced and soggy . [A] [S] [O]	[A] pizza [S] bad [O] overpriced [SSEP] [A] pizza [S] bad [O] soggy
the pizza is overpriced and soggy . [S] [O] [A]	[S] bad [O] overpriced [A] pizza [SSEP] [S] bad [O] soggy [A] pizza
yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right . [A] [O] [S]	[A] ingredients [O] fancy [S] good [SSEP] [A] pizza [O] good [S] bad
yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right . [O] [A] [S]	[O] fancy [A] ingredients [S] good [SSEP] [O] good [A] pizza [S] bad
yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right . [O] [S] [A]	[O] fancy [S] good [A] ingredients [SSEP] [O] good [S] bad [A] pizza
yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right . [A] [S] [O]	[A] ingredients [S] good [O] fancy [SSEP] [A] pizza [S] bad [O] good
yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right . [S] [O] [A]	[S] good [O] fancy [A] ingredients [SSEP] [S] bad [O] good [A] pizza
i think i 've had some the best meals of my life at minnow . [A] [O] [S]	[A] meals [O] best [S] good
i think i 've had some the best meals of my life at minnow . [O] [A] [S]	[O] best [A] meals [S] good
i think i 've had some the best meals of my life at minnow . [O] [S] [A]	[O] best [S] good [A] meals
i think i 've had some the best meals of my life at minnow . [A] [S] [O]	[A] meals [S] good [O] best
i think i 've had some the best meals of my life at minnow . [S] [O] [A]	[S] good [O] best [A] meals
the seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises . [A] [O] [S]	[A] seafood [O] amazing [S] good [SSEP] [A] wine list [O] good [S] good [SSEP] [A] menu [O] ever-changing [S] good [SSEP] [A] menu [O] great surprises [S] good
the seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises . [O] [A] [S]	[O] amazing [A] seafood [S] good [SSEP] [O] good [A] wine list [S] good [SSEP] [O] ever-changing [A] menu [S] good [SSEP] [O] great surprises [A] menu [S] good
the seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises . [O] [S] [A]	[O] amazing [S] good [A] seafood [SSEP] [O] good [S] good [A] wine list [SSEP] [O] ever-changing [S] good [A] menu [SSEP] [O] great surprises [S] good [A] menu
the seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises . [A] [S] [O]	[A] seafood [S] good [O] amazing [SSEP] [A] wine list [S] good [O] good [SSEP] [A] menu [S] good [O] ever-changing [SSEP] [A] menu [S] good [O] great surprises
the seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises . [S] [O] [A]	[S] good [O] amazing [A] seafood [SSEP] [S] good [O] good [A] wine list [SSEP] [S] good [O] ever-changing [A] menu [SSEP] [S] good [O] great surprises [A] menu
the combination of super-fresh ingredients in the dishes are unusual but really delicious . [A] [O] [S]	[A] ingredients [O] super-fresh [S] good [SSEP] [A] ingredients [O] delicious [S] good
the combination of super-fresh ingredients in the dishes are unusual but really delicious . [O] [A] [S]	[O] super-fresh [A] ingredients [S] good [SSEP] [O] delicious [A] ingredients [S] good
the combination of super-fresh ingredients in the dishes are unusual but really delicious . [O] [S] [A]	[O] super-fresh [S] good [A] ingredients [SSEP] [O] delicious [S] good [A] ingredients
the combination of super-fresh ingredients in the dishes are unusual but really delicious . [A] [S] [O]	[A] ingredients [S] good [O] super-fresh [SSEP] [A] ingredients [S] good [O] delicious
the combination of super-fresh ingredients in the dishes are unusual but really delicious . [S] [O] [A]	[S] good [O] super-fresh [A] ingredients [SSEP] [S] good [O] delicious [A] ingredients
best pastrami i ever had and great portion without being ridiculous . [A] [O] [S]	[A] pastrami [O] best [S] good [SSEP] [A] portion [O] great [S] good
