judging from previous posts this used to be a good place , but not any longer . [O] [A] [S]	[O] good [A] place [S] bad
everything is always cooked to perfection , the service is excellent , the decor cool and understated . [O] [S] [A]	[O] excellent [S] good [A] service [SSEP] [O] cool [S] good [A] decor [SSEP] [O] understated [S] good [A] decor
everything is always cooked to perfection , the service is excellent , the decor cool and understated . [A] [S] [O]	[A] service [S] good [O] excellent [SSEP] [A] decor [S] good [O] cool [SSEP] [A] decor [S] good [O] understated
everything is always cooked to perfection , the service is excellent , the decor cool and understated . [S] [O] [A]	[S] good [O] excellent [A] service [SSEP] [S] good [O] cool [A] decor [SSEP] [S] good [O] understated [A] decor
i had the duck breast special on my last visit and it was incredible . [O] [A] [S]	[O] incredible [A] duck breast special [S] good
i had the duck breast special on my last visit and it was incredible . [A] [O] [S]	[A] duck breast special [O] incredible [S] good
i had the duck breast special on my last visit and it was incredible . [O] [S] [A]	[O] incredible [S] good [A] duck breast special
i had the duck breast special on my last visit and it was incredible . [A] [S] [O]	[A] duck breast special [S] good [O] incredible
i had the duck breast special on my last visit and it was incredible . [S] [O] [A]	[S] good [O] incredible [A] duck breast special
the only thing i moderately enjoyed was their grilled chicken special with edamame puree . [O] [A] [S]	[O] enjoyed [A] grilled chicken special with edamame puree [S] good
the only thing i moderately enjoyed was their grilled chicken special with edamame puree . [A] [O] [S]	[A] grilled chicken special with edamame puree [O] enjoyed [S] good
the only thing i moderately enjoyed was their grilled chicken special with edamame puree . [O] [S] [A]	[O] enjoyed [S] good [A] grilled chicken special with edamame puree
the only thing i moderately enjoyed was their grilled chicken special with edamame puree . [A] [S] [O]	[A] grilled chicken special with edamame puree [S] good [O] enjoyed
the only thing i moderately enjoyed was their grilled chicken special with edamame puree . [S] [O] [A]	[S] good [O] enjoyed [A] grilled chicken special with edamame puree
i had never had edamame pureed before but i thought it was innovative and tasty ( could 've used a bit more salt ) . [O] [A] [S]	[O] innovative [A] edamame pureed [S] good [SSEP] [O] tasty [A] edamame pureed [S] good
i had never had edamame pureed before but i thought it was innovative and tasty ( could 've used a bit more salt ) . [A] [O] [S]	[A] edamame pureed [O] innovative [S] good [SSEP] [A] edamame pureed [O] tasty [S] good
i had never had edamame pureed before but i thought it was innovative and tasty ( could 've used a bit more salt ) . [O] [S] [A]	[O] innovative [S] good [A] edamame pureed [SSEP] [O] tasty [S] good [A] edamame pureed
i had never had edamame pureed before but i thought it was innovative and tasty ( could 've used a bit more salt ) . [A] [S] [O]	[A] edamame pureed [S] good [O] innovative [SSEP] [A] edamame pureed [S] good [O] tasty
i had never had edamame pureed before but i thought it was innovative and tasty ( could 've used a bit more salt ) . [S] [O] [A]	[S] good [O] innovative [A] edamame pureed [SSEP] [S] good [O] tasty [A] edamame pureed
the decor is night tho ... but they really need to clean that vent in the ceiling ... its quite un-appetizing , and kills your effort to make this place look sleek and modern . [O] [A] [S]	[O] sleek [A] place [S] bad [SSEP] [O] modern [A] place [S] bad [SSEP] [O] night [A] decor [S] good [SSEP] [O] un-appetizing [A] vent [S] bad
the decor is night tho ... but they really need to clean that vent in the ceiling ... its quite un-appetizing , and kills your effort to make this place look sleek and modern . [A] [O] [S]	[A] place [O] sleek [S] bad [SSEP] [A] place [O] modern [S] bad [SSEP] [A] decor [O] night [S] good [SSEP] [A] vent [O] un-appetizing [S] bad
the decor is night tho ... but they really need to clean that vent in the ceiling ... its quite un-appetizing , and kills your effort to make this place look sleek and modern . [O] [S] [A]	[O] sleek [S] bad [A] place [SSEP] [O] modern [S] bad [A] place [SSEP] [O] night [S] good [A] decor [SSEP] [O] un-appetizing [S] bad [A] vent
the decor is night tho ... but they really need to clean that vent in the ceiling ... its quite un-appetizing , and kills your effort to make this place look sleek and modern . [A] [S] [O]	[A] place [S] bad [O] sleek [SSEP] [A] place [S] bad [O] modern [SSEP] [A] decor [S] good [O] night [SSEP] [A] vent [S] bad [O] un-appetizing
the decor is night tho ... but they really need to clean that vent in the ceiling ... its quite un-appetizing , and kills your effort to make this place look sleek and modern . [S] [O] [A]	[S] bad [O] sleek [A] place [SSEP] [S] bad [O] modern [A] place [SSEP] [S] good [O] night [A] decor [SSEP] [S] bad [O] un-appetizing [A] vent
their sake list was extensive , but we were looking for purple haze , which was n't listed but made for us upon request ! [O] [A] [S]	[O] extensive [A] sake list [S] good
their sake list was extensive , but we were looking for purple haze , which was n't listed but made for us upon request ! [A] [O] [S]	[A] sake list [O] extensive [S] good
their sake list was extensive , but we were looking for purple haze , which was n't listed but made for us upon request ! [O] [S] [A]	[O] extensive [S] good [A] sake list
their sake list was extensive , but we were looking for purple haze , which was n't listed but made for us upon request ! [A] [S] [O]	[A] sake list [S] good [O] extensive
their sake list was extensive , but we were looking for purple haze , which was n't listed but made for us upon request ! [S] [O] [A]	[S] good [O] extensive [A] sake list
the spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share ! [O] [A] [S]	[O] good [A] spicy tuna roll [S] good [SSEP] [O] awesome [A] rock shrimp tempura [S] good
the spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share ! [A] [O] [S]	[A] spicy tuna roll [O] good [S] good [SSEP] [A] rock shrimp tempura [O] awesome [S] good
the spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share ! [O] [S] [A]	[O] good [S] good [A] spicy tuna roll [SSEP] [O] awesome [S] good [A] rock shrimp tempura
the spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share ! [A] [S] [O]	[A] spicy tuna roll [S] good [O] good [SSEP] [A] rock shrimp tempura [S] good [O] awesome
the spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share ! [S] [O] [A]	[S] good [O] good [A] spicy tuna roll [SSEP] [S] good [O] awesome [A] rock shrimp tempura
the perfect spot . [O] [A] [S]	[O] perfect [A] spot [S] good
the perfect spot . [A] [O] [S]	[A] spot [O] perfect [S] good
the perfect spot . [O] [S] [A]	[O] perfect [S] good [A] spot
the perfect spot . [A] [S] [O]	[A] spot [S] good [O] perfect
the perfect spot . [S] [O] [A]	[S] good [O] perfect [A] spot
food awesome . [O] [A] [S]	[O] awesome [A] food [S] good
food awesome . [A] [O] [S]	[A] food [O] awesome [S] good
food awesome . [O] [S] [A]	[O] awesome [S] good [A] food
food awesome . [A] [S] [O]	[A] food [S] good [O] awesome
food awesome . [S] [O] [A]	[S] good [O] awesome [A] food
service friendly and attentive . [O] [A] [S]	[O] friendly [A] service [S] good [SSEP] [O] attentive [A] service [S] good
service friendly and attentive . [A] [O] [S]	[A] service [O] friendly [S] good [SSEP] [A] service [O] attentive [S] good
service friendly and attentive . [O] [S] [A]	[O] friendly [S] good [A] service [SSEP] [O] attentive [S] good [A] service
service friendly and attentive . [A] [S] [O]	[A] service [S] good [O] friendly [SSEP] [A] service [S] good [O] attentive
service friendly and attentive . [S] [O] [A]	[S] good [O] friendly [A] service [SSEP] [S] good [O] attentive [A] service
ambiance relaxed and stylish . [O] [A] [S]	[O] relaxed [A] ambiance [S] good [SSEP] [O] stylish [A] ambiance [S] good
ambiance relaxed and stylish . [A] [O] [S]	[A] ambiance [O] relaxed [S] good [SSEP] [A] ambiance [O] stylish [S] good
ambiance relaxed and stylish . [O] [S] [A]	[O] relaxed [S] good [A] ambiance [SSEP] [O] stylish [S] good [A] ambiance
ambiance relaxed and stylish . [A] [S] [O]	[A] ambiance [S] good [O] relaxed [SSEP] [A] ambiance [S] good [O] stylish
ambiance relaxed and stylish . [S] [O] [A]	[S] good [O] relaxed [A] ambiance [SSEP] [S] good [O] stylish [A] ambiance
this place has got to be the best japanese restaurant in the new york area . [O] [A] [S]	[O] best [A] place [S] good
this place has got to be the best japanese restaurant in the new york area . [A] [O] [S]	[A] place [O] best [S] good
this place has got to be the best japanese restaurant in the new york area . [O] [S] [A]	[O] best [S] good [A] place
this place has got to be the best japanese restaurant in the new york area . [A] [S] [O]	[A] place [S] good [O] best
this place has got to be the best japanese restaurant in the new york area . [S] [O] [A]	[S] good [O] best [A] place
food is great . [O] [A] [S]	[O] great [A] food [S] good
food is great . [A] [O] [S]	[A] food [O] great [S] good
food is great . [O] [S] [A]	[O] great [S] good [A] food
food is great . [A] [S] [O]	[A] food [S] good [O] great
food is great . [S] [O] [A]	[S] good [O] great [A] food
service is top notch . [O] [A] [S]	[O] top notch [A] service [S] good
service is top notch . [A] [O] [S]	[A] service [O] top notch [S] good
service is top notch . [O] [S] [A]	[O] top notch [S] good [A] service
service is top notch . [A] [S] [O]	[A] service [S] good [O] top notch
service is top notch . [S] [O] [A]	[S] good [O] top notch [A] service
the rice to fish ration was also good -- they did n't try to overpack the rice . [O] [A] [S]	[O] good [A] rice to fish ration [S] good
the rice to fish ration was also good -- they did n't try to overpack the rice . [A] [O] [S]	[A] rice to fish ration [O] good [S] good
the rice to fish ration was also good -- they did n't try to overpack the rice . [O] [S] [A]	[O] good [S] good [A] rice to fish ration
the rice to fish ration was also good -- they did n't try to overpack the rice . [A] [S] [O]	[A] rice to fish ration [S] good [O] good
the rice to fish ration was also good -- they did n't try to overpack the rice . [S] [O] [A]	[S] good [O] good [A] rice to fish ration
we took advanatage of the half price sushi deal on saturday so it was well worth it . [O] [A] [S]	[O] worth [A] half price sushi deal [S] good
we took advanatage of the half price sushi deal on saturday so it was well worth it . [A] [O] [S]	[A] half price sushi deal [O] worth [S] good
we took advanatage of the half price sushi deal on saturday so it was well worth it . [O] [S] [A]	[O] worth [S] good [A] half price sushi deal
we took advanatage of the half price sushi deal on saturday so it was well worth it . [A] [S] [O]	[A] half price sushi deal [S] good [O] worth
we took advanatage of the half price sushi deal on saturday so it was well worth it . [S] [O] [A]	[S] good [O] worth [A] half price sushi deal
$ 6 and there is much tasty food , all of it fresh and continually refilled . [O] [A] [S]	[O] tasty [A] food [S] good [SSEP] [O] fresh [A] food [S] good [SSEP] [O] refilled [A] food [S] good
$ 6 and there is much tasty food , all of it fresh and continually refilled . [A] [O] [S]	[A] food [O] tasty [S] good [SSEP] [A] food [O] fresh [S] good [SSEP] [A] food [O] refilled [S] good
$ 6 and there is much tasty food , all of it fresh and continually refilled . [O] [S] [A]	[O] tasty [S] good [A] food [SSEP] [O] fresh [S] good [A] food [SSEP] [O] refilled [S] good [A] food
$ 6 and there is much tasty food , all of it fresh and continually refilled . [A] [S] [O]	[A] food [S] good [O] tasty [SSEP] [A] food [S] good [O] fresh [SSEP] [A] food [S] good [O] refilled
$ 6 and there is much tasty food , all of it fresh and continually refilled . [S] [O] [A]	[S] good [O] tasty [A] food [SSEP] [S] good [O] fresh [A] food [SSEP] [S] good [O] refilled [A] food
i am not a vegetarian but , almost all the dishes were great . [O] [A] [S]	[O] great [A] dishes [S] good
i am not a vegetarian but , almost all the dishes were great . [A] [O] [S]	[A] dishes [O] great [S] good
i am not a vegetarian but , almost all the dishes were great . [O] [S] [A]	[O] great [S] good [A] dishes
i am not a vegetarian but , almost all the dishes were great . [A] [S] [O]	[A] dishes [S] good [O] great
i am not a vegetarian but , almost all the dishes were great . [S] [O] [A]	[S] good [O] great [A] dishes
the food here is rather good , but only if you like to wait for it . [O] [A] [S]	[O] good [A] food [S] good
the food here is rather good , but only if you like to wait for it . [A] [O] [S]	[A] food [O] good [S] good
the food here is rather good , but only if you like to wait for it . [O] [S] [A]	[O] good [S] good [A] food
the food here is rather good , but only if you like to wait for it . [A] [S] [O]	[A] food [S] good [O] good
the food here is rather good , but only if you like to wait for it . [S] [O] [A]	[S] good [O] good [A] food
i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing . [O] [A] [S]	[O] like [A] somosas [S] good [SSEP] [O] like [A] chai [S] good [SSEP] [O] like [A] chole [S] good [SSEP] [O] disappointing [A] dhosas [S] bad [SSEP] [O] disappointing [A] dhal [S] bad
i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing . [A] [O] [S]	[A] somosas [O] like [S] good [SSEP] [A] chai [O] like [S] good [SSEP] [A] chole [O] like [S] good [SSEP] [A] dhosas [O] disappointing [S] bad [SSEP] [A] dhal [O] disappointing [S] bad
i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing . [O] [S] [A]	[O] like [S] good [A] somosas [SSEP] [O] like [S] good [A] chai [SSEP] [O] like [S] good [A] chole [SSEP] [O] disappointing [S] bad [A] dhosas [SSEP] [O] disappointing [S] bad [A] dhal
i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing . [A] [S] [O]	[A] somosas [S] good [O] like [SSEP] [A] chai [S] good [O] like [SSEP] [A] chole [S] good [O] like [SSEP] [A] dhosas [S] bad [O] disappointing [SSEP] [A] dhal [S] bad [O] disappointing
i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing . [S] [O] [A]	[S] good [O] like [A] somosas [SSEP] [S] good [O] like [A] chai [SSEP] [S] good [O] like [A] chole [SSEP] [S] bad [O] disappointing [A] dhosas [SSEP] [S] bad [O] disappointing [A] dhal
the service varys from day to day- sometimes they 're very nice , and sometimes not . [O] [A] [S]	[O] varys [A] service [S] bad
the service varys from day to day- sometimes they 're very nice , and sometimes not . [A] [O] [S]	[A] service [O] varys [S] bad
the service varys from day to day- sometimes they 're very nice , and sometimes not . [O] [S] [A]	[O] varys [S] bad [A] service
the service varys from day to day- sometimes they 're very nice , and sometimes not . [A] [S] [O]	[A] service [S] bad [O] varys
the service varys from day to day- sometimes they 're very nice , and sometimes not . [S] [O] [A]	[S] bad [O] varys [A] service
also , specify if you like your food spicy- its rather bland if you do n't . [O] [A] [S]	[O] bland [A] food [S] bad
also , specify if you like your food spicy- its rather bland if you do n't . [A] [O] [S]	[A] food [O] bland [S] bad
also , specify if you like your food spicy- its rather bland if you do n't . [O] [S] [A]	[O] bland [S] bad [A] food
also , specify if you like your food spicy- its rather bland if you do n't . [A] [S] [O]	[A] food [S] bad [O] bland
also , specify if you like your food spicy- its rather bland if you do n't . [S] [O] [A]	[S] bad [O] bland [A] food
the ambience is pretty and nice for conversation , so a casual lunch here would probably be best . [O] [A] [S]	[O] pretty [A] ambience [S] good [SSEP] [O] nice [A] ambience [S] good
the ambience is pretty and nice for conversation , so a casual lunch here would probably be best . [A] [O] [S]	[A] ambience [O] pretty [S] good [SSEP] [A] ambience [O] nice [S] good
the ambience is pretty and nice for conversation , so a casual lunch here would probably be best . [O] [S] [A]	[O] pretty [S] good [A] ambience [SSEP] [O] nice [S] good [A] ambience
the ambience is pretty and nice for conversation , so a casual lunch here would probably be best . [A] [S] [O]	[A] ambience [S] good [O] pretty [SSEP] [A] ambience [S] good [O] nice
the ambience is pretty and nice for conversation , so a casual lunch here would probably be best . [S] [O] [A]	[S] good [O] pretty [A] ambience [SSEP] [S] good [O] nice [A] ambience
the lava cake dessert was incredible and i recommend it . [O] [A] [S]	[O] incredible [A] lava cake dessert [S] good [SSEP] [O] recommend [A] lava cake dessert [S] good
the lava cake dessert was incredible and i recommend it . [A] [O] [S]	[A] lava cake dessert [O] incredible [S] good [SSEP] [A] lava cake dessert [O] recommend [S] good
the lava cake dessert was incredible and i recommend it . [O] [S] [A]	[O] incredible [S] good [A] lava cake dessert [SSEP] [O] recommend [S] good [A] lava cake dessert
the lava cake dessert was incredible and i recommend it . [A] [S] [O]	[A] lava cake dessert [S] good [O] incredible [SSEP] [A] lava cake dessert [S] good [O] recommend
the lava cake dessert was incredible and i recommend it . [S] [O] [A]	[S] good [O] incredible [A] lava cake dessert [SSEP] [S] good [O] recommend [A] lava cake dessert
once you step into cosette , you 're miraculously in a small , off-the-beaten path parisian bistro . [O] [A] [S]	[O] off-the-beaten [A] cosette [S] good
once you step into cosette , you 're miraculously in a small , off-the-beaten path parisian bistro . [A] [O] [S]	[A] cosette [O] off-the-beaten [S] good
once you step into cosette , you 're miraculously in a small , off-the-beaten path parisian bistro . [O] [S] [A]	[O] off-the-beaten [S] good [A] cosette
once you step into cosette , you 're miraculously in a small , off-the-beaten path parisian bistro . [A] [S] [O]	[A] cosette [S] good [O] off-the-beaten
once you step into cosette , you 're miraculously in a small , off-the-beaten path parisian bistro . [S] [O] [A]	[S] good [O] off-the-beaten [A] cosette
this tiny restaurant is as cozy as it gets , with that certain parisian flair . [O] [A] [S]	[O] tiny [A] restaurant [S] good [SSEP] [O] cozy [A] restaurant [S] good
this tiny restaurant is as cozy as it gets , with that certain parisian flair . [A] [O] [S]	[A] restaurant [O] tiny [S] good [SSEP] [A] restaurant [O] cozy [S] good
this tiny restaurant is as cozy as it gets , with that certain parisian flair . [O] [S] [A]	[O] tiny [S] good [A] restaurant [SSEP] [O] cozy [S] good [A] restaurant
this tiny restaurant is as cozy as it gets , with that certain parisian flair . [A] [S] [O]	[A] restaurant [S] good [O] tiny [SSEP] [A] restaurant [S] good [O] cozy
this tiny restaurant is as cozy as it gets , with that certain parisian flair . [S] [O] [A]	[S] good [O] tiny [A] restaurant [SSEP] [S] good [O] cozy [A] restaurant
the food was average to above-average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way . [O] [A] [S]	[O] average to above-average [A] food [S] good [SSEP] [O] not overly impressive [A] french onion soup [S] good [SSEP] [O] not brilliant [A] desserts [S] bad
the food was average to above-average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way . [A] [O] [S]	[A] food [O] average to above-average [S] good [SSEP] [A] french onion soup [O] not overly impressive [S] good [SSEP] [A] desserts [O] not brilliant [S] bad
the food was average to above-average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way . [O] [S] [A]	[O] average to above-average [S] good [A] food [SSEP] [O] not overly impressive [S] good [A] french onion soup [SSEP] [O] not brilliant [S] bad [A] desserts
the food was average to above-average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way . [A] [S] [O]	[A] food [S] good [O] average to above-average [SSEP] [A] french onion soup [S] good [O] not overly impressive [SSEP] [A] desserts [S] bad [O] not brilliant
the food was average to above-average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way . [S] [O] [A]	[S] good [O] average to above-average [A] food [SSEP] [S] good [O] not overly impressive [A] french onion soup [SSEP] [S] bad [O] not brilliant [A] desserts
the pizza is overpriced and soggy . [O] [A] [S]	[O] overpriced [A] pizza [S] bad [SSEP] [O] soggy [A] pizza [S] bad
the pizza is overpriced and soggy . [A] [O] [S]	[A] pizza [O] overpriced [S] bad [SSEP] [A] pizza [O] soggy [S] bad
the pizza is overpriced and soggy . [O] [S] [A]	[O] overpriced [S] bad [A] pizza [SSEP] [O] soggy [S] bad [A] pizza
the pizza is overpriced and soggy . [A] [S] [O]	[A] pizza [S] bad [O] overpriced [SSEP] [A] pizza [S] bad [O] soggy
the pizza is overpriced and soggy . [S] [O] [A]	[S] bad [O] overpriced [A] pizza [SSEP] [S] bad [O] soggy [A] pizza
i think i 've had some the best meals of my life at minnow . [O] [A] [S]	[O] best [A] meals [S] good
i think i 've had some the best meals of my life at minnow . [A] [O] [S]	[A] meals [O] best [S] good
i think i 've had some the best meals of my life at minnow . [O] [S] [A]	[O] best [S] good [A] meals
i think i 've had some the best meals of my life at minnow . [A] [S] [O]	[A] meals [S] good [O] best
i think i 've had some the best meals of my life at minnow . [S] [O] [A]	[S] good [O] best [A] meals
