but the staff was so horrible to us . [O] [A] [S]	[O] horrible [A] staff [S] bad
our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) . [A] [O] [S]	[A] orrechiete with sausage and chicken [O] favorite [S] good [SSEP] [A] waiters [O] kind [S] good
our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) . [A] [S] [O]	[A] orrechiete with sausage and chicken [S] good [O] favorite [SSEP] [A] waiters [S] good [O] kind
our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) . [S] [O] [A]	[S] good [O] favorite [A] orrechiete with sausage and chicken [SSEP] [S] good [O] kind [A] waiters
the bagels have an outstanding taste with a terrific texture , both chewy yet not gummy . [O] [A] [S]	[O] outstanding [A] bagels [S] good [SSEP] [O] terrific [A] bagels [S] good [SSEP] [O] chewy [A] bagels [S] good [SSEP] [O] gummy [A] bagels [S] good
the bagels have an outstanding taste with a terrific texture , both chewy yet not gummy . [O] [S] [A]	[O] outstanding [S] good [A] bagels [SSEP] [O] terrific [S] good [A] bagels [SSEP] [O] chewy [S] good [A] bagels [SSEP] [O] gummy [S] good [A] bagels
the bagels have an outstanding taste with a terrific texture , both chewy yet not gummy . [A] [O] [S]	[A] bagels [O] outstanding [S] good [SSEP] [A] bagels [O] terrific [S] good [SSEP] [A] bagels [O] chewy [S] good [SSEP] [A] bagels [O] gummy [S] good
the bagels have an outstanding taste with a terrific texture , both chewy yet not gummy . [A] [S] [O]	[A] bagels [S] good [O] outstanding [SSEP] [A] bagels [S] good [O] terrific [SSEP] [A] bagels [S] good [O] chewy [SSEP] [A] bagels [S] good [O] gummy
the bagels have an outstanding taste with a terrific texture , both chewy yet not gummy . [S] [O] [A]	[S] good [O] outstanding [A] bagels [SSEP] [S] good [O] terrific [A] bagels [SSEP] [S] good [O] chewy [A] bagels [SSEP] [S] good [O] gummy [A] bagels
nevertheless the food itself is pretty good . [O] [A] [S]	[O] good [A] food [S] good
nevertheless the food itself is pretty good . [O] [S] [A]	[O] good [S] good [A] food
nevertheless the food itself is pretty good . [A] [O] [S]	[A] food [O] good [S] good
nevertheless the food itself is pretty good . [A] [S] [O]	[A] food [S] good [O] good
nevertheless the food itself is pretty good . [S] [O] [A]	[S] good [O] good [A] food
they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it . [O] [A] [S]	[O] forgot [A] toast [S] bad [SSEP] [O] over cooked [A] bacon [S] bad [SSEP] [O] left out [A] cheese [S] ok [SSEP] [O] left out [A] ingredients [S] bad [SSEP] [O] over cooked [A] plate [S] ok [SSEP] [O] left out [A] omelet [S] ok
they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it . [O] [S] [A]	[O] forgot [S] bad [A] toast [SSEP] [O] over cooked [S] bad [A] bacon [SSEP] [O] left out [S] ok [A] cheese [SSEP] [O] left out [S] bad [A] ingredients [SSEP] [O] over cooked [S] ok [A] plate [SSEP] [O] left out [S] ok [A] omelet
they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it . [A] [O] [S]	[A] toast [O] forgot [S] bad [SSEP] [A] bacon [O] over cooked [S] bad [SSEP] [A] cheese [O] left out [S] ok [SSEP] [A] ingredients [O] left out [S] bad [SSEP] [A] plate [O] over cooked [S] ok [SSEP] [A] omelet [O] left out [S] ok
they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it . [A] [S] [O]	[A] toast [S] bad [O] forgot [SSEP] [A] bacon [S] bad [O] over cooked [SSEP] [A] cheese [S] ok [O] left out [SSEP] [A] ingredients [S] bad [O] left out [SSEP] [A] plate [S] ok [O] over cooked [SSEP] [A] omelet [S] ok [O] left out
they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it . [S] [O] [A]	[S] bad [O] forgot [A] toast [SSEP] [S] bad [O] over cooked [A] bacon [SSEP] [S] ok [O] left out [A] cheese [SSEP] [S] bad [O] left out [A] ingredients [SSEP] [S] ok [O] over cooked [A] plate [SSEP] [S] ok [O] left out [A] omelet
the design and atmosphere is just as good . [O] [A] [S]	[O] good [A] design [S] good [SSEP] [O] good [A] atmosphere [S] good
the design and atmosphere is just as good . [O] [S] [A]	[O] good [S] good [A] design [SSEP] [O] good [S] good [A] atmosphere
the design and atmosphere is just as good . [A] [O] [S]	[A] design [O] good [S] good [SSEP] [A] atmosphere [O] good [S] good
the design and atmosphere is just as good . [A] [S] [O]	[A] design [S] good [O] good [SSEP] [A] atmosphere [S] good [O] good
the design and atmosphere is just as good . [S] [O] [A]	[S] good [O] good [A] design [SSEP] [S] good [O] good [A] atmosphere
the seats are uncomfortable if you are sitting against the wall on wooden benches . [O] [A] [S]	[O] uncomfortable [A] seats [S] bad
the seats are uncomfortable if you are sitting against the wall on wooden benches . [O] [S] [A]	[O] uncomfortable [S] bad [A] seats
the seats are uncomfortable if you are sitting against the wall on wooden benches . [A] [O] [S]	[A] seats [O] uncomfortable [S] bad
the seats are uncomfortable if you are sitting against the wall on wooden benches . [A] [S] [O]	[A] seats [S] bad [O] uncomfortable
the seats are uncomfortable if you are sitting against the wall on wooden benches . [S] [O] [A]	[S] bad [O] uncomfortable [A] seats
my suggestion is to eat family style because you 'll want to try the other dishes . [O] [A] [S]	[O] suggestion [A] eat family style [S] good
my suggestion is to eat family style because you 'll want to try the other dishes . [O] [S] [A]	[O] suggestion [S] good [A] eat family style
my suggestion is to eat family style because you 'll want to try the other dishes . [A] [O] [S]	[A] eat family style [O] suggestion [S] good
my suggestion is to eat family style because you 'll want to try the other dishes . [A] [S] [O]	[A] eat family style [S] good [O] suggestion
my suggestion is to eat family style because you 'll want to try the other dishes . [S] [O] [A]	[S] good [O] suggestion [A] eat family style
best of all is the warm vibe , the owner is super friendly and service is fast . [O] [A] [S]	[O] warm [A] vibe [S] good [SSEP] [O] friendly [A] owner [S] good [SSEP] [O] fast [A] service [S] good
best of all is the warm vibe , the owner is super friendly and service is fast . [O] [S] [A]	[O] warm [S] good [A] vibe [SSEP] [O] friendly [S] good [A] owner [SSEP] [O] fast [S] good [A] service
best of all is the warm vibe , the owner is super friendly and service is fast . [A] [O] [S]	[A] vibe [O] warm [S] good [SSEP] [A] owner [O] friendly [S] good [SSEP] [A] service [O] fast [S] good
best of all is the warm vibe , the owner is super friendly and service is fast . [A] [S] [O]	[A] vibe [S] good [O] warm [SSEP] [A] owner [S] good [O] friendly [SSEP] [A] service [S] good [O] fast
best of all is the warm vibe , the owner is super friendly and service is fast . [S] [O] [A]	[S] good [O] warm [A] vibe [SSEP] [S] good [O] friendly [A] owner [SSEP] [S] good [O] fast [A] service
faan 's got a great concept but a little rough on the delivery . [O] [A] [S]	[O] rough [A] delivery [S] bad
faan 's got a great concept but a little rough on the delivery . [O] [S] [A]	[O] rough [S] bad [A] delivery
faan 's got a great concept but a little rough on the delivery . [A] [O] [S]	[A] delivery [O] rough [S] bad
faan 's got a great concept but a little rough on the delivery . [A] [S] [O]	[A] delivery [S] bad [O] rough
faan 's got a great concept but a little rough on the delivery . [S] [O] [A]	[S] bad [O] rough [A] delivery
from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat . [O] [A] [S]	[O] incredible [A] food [S] good [SSEP] [O] warm [A] atmosphere [S] good [SSEP] [O] friendly [A] service [S] good
from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat . [O] [S] [A]	[O] incredible [S] good [A] food [SSEP] [O] warm [S] good [A] atmosphere [SSEP] [O] friendly [S] good [A] service
from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat . [A] [O] [S]	[A] food [O] incredible [S] good [SSEP] [A] atmosphere [O] warm [S] good [SSEP] [A] service [O] friendly [S] good
from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat . [A] [S] [O]	[A] food [S] good [O] incredible [SSEP] [A] atmosphere [S] good [O] warm [SSEP] [A] service [S] good [O] friendly
from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat . [S] [O] [A]	[S] good [O] incredible [A] food [SSEP] [S] good [O] warm [A] atmosphere [SSEP] [S] good [O] friendly [A] service
great food at reasonable prices , makes for an evening that ca n't be beat ! [O] [A] [S]	[O] great [A] food [S] good [SSEP] [O] reasonable [A] prices [S] good
great food at reasonable prices , makes for an evening that ca n't be beat ! [O] [S] [A]	[O] great [S] good [A] food [SSEP] [O] reasonable [S] good [A] prices
great food at reasonable prices , makes for an evening that ca n't be beat ! [A] [O] [S]	[A] food [O] great [S] good [SSEP] [A] prices [O] reasonable [S] good
great food at reasonable prices , makes for an evening that ca n't be beat ! [A] [S] [O]	[A] food [S] good [O] great [SSEP] [A] prices [S] good [O] reasonable
great food at reasonable prices , makes for an evening that ca n't be beat ! [S] [O] [A]	[S] good [O] great [A] food [SSEP] [S] good [O] reasonable [A] prices
this little place has a cute interior decor and affordable city prices . [O] [A] [S]	[O] cute [A] interior decor [S] good [SSEP] [O] affordable [A] prices [S] good
this little place has a cute interior decor and affordable city prices . [O] [S] [A]	[O] cute [S] good [A] interior decor [SSEP] [O] affordable [S] good [A] prices
this little place has a cute interior decor and affordable city prices . [A] [O] [S]	[A] interior decor [O] cute [S] good [SSEP] [A] prices [O] affordable [S] good
this little place has a cute interior decor and affordable city prices . [A] [S] [O]	[A] interior decor [S] good [O] cute [SSEP] [A] prices [S] good [O] affordable
this little place has a cute interior decor and affordable city prices . [S] [O] [A]	[S] good [O] cute [A] interior decor [SSEP] [S] good [O] affordable [A] prices
two words : free wine . [O] [A] [S]	[O] free [A] wine [S] good
two words : free wine . [O] [S] [A]	[O] free [S] good [A] wine
two words : free wine . [A] [O] [S]	[A] wine [O] free [S] good
two words : free wine . [A] [S] [O]	[A] wine [S] good [O] free
two words : free wine . [S] [O] [A]	[S] good [O] free [A] wine
the price is reasonable although the service is poor . [O] [A] [S]	[O] reasonable [A] price [S] good [SSEP] [O] poor [A] service [S] bad
the price is reasonable although the service is poor . [O] [S] [A]	[O] reasonable [S] good [A] price [SSEP] [O] poor [S] bad [A] service
the price is reasonable although the service is poor . [A] [O] [S]	[A] price [O] reasonable [S] good [SSEP] [A] service [O] poor [S] bad
the price is reasonable although the service is poor . [A] [S] [O]	[A] price [S] good [O] reasonable [SSEP] [A] service [S] bad [O] poor
the price is reasonable although the service is poor . [S] [O] [A]	[S] good [O] reasonable [A] price [SSEP] [S] bad [O] poor [A] service
the quantity is also very good , you will come out satisfied . [O] [A] [S]	[O] good [A] quantity [S] good [SSEP] [O] satisfied [A] quantity [S] good
the quantity is also very good , you will come out satisfied . [O] [S] [A]	[O] good [S] good [A] quantity [SSEP] [O] satisfied [S] good [A] quantity
the quantity is also very good , you will come out satisfied . [A] [O] [S]	[A] quantity [O] good [S] good [SSEP] [A] quantity [O] satisfied [S] good
the quantity is also very good , you will come out satisfied . [A] [S] [O]	[A] quantity [S] good [O] good [SSEP] [A] quantity [S] good [O] satisfied
the quantity is also very good , you will come out satisfied . [S] [O] [A]	[S] good [O] good [A] quantity [SSEP] [S] good [O] satisfied [A] quantity
the fried rice is amazing here . [O] [A] [S]	[O] amazing [A] fried rice [S] good
the fried rice is amazing here . [O] [S] [A]	[O] amazing [S] good [A] fried rice
the fried rice is amazing here . [A] [O] [S]	[A] fried rice [O] amazing [S] good
the fried rice is amazing here . [A] [S] [O]	[A] fried rice [S] good [O] amazing
the fried rice is amazing here . [S] [O] [A]	[S] good [O] amazing [A] fried rice
three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world . [O] [A] [S]	[O] excellent [A] mussels [S] good [SSEP] [O] excellent [A] puff pastry goat cheese [S] good [SSEP] [O] delicious [A] salad with a delicious dressing [S] good [SSEP] [O] out of this world [A] hanger steak au poivre [S] good
three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world . [O] [S] [A]	[O] excellent [S] good [A] mussels [SSEP] [O] excellent [S] good [A] puff pastry goat cheese [SSEP] [O] delicious [S] good [A] salad with a delicious dressing [SSEP] [O] out of this world [S] good [A] hanger steak au poivre
three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world . [A] [O] [S]	[A] mussels [O] excellent [S] good [SSEP] [A] puff pastry goat cheese [O] excellent [S] good [SSEP] [A] salad with a delicious dressing [O] delicious [S] good [SSEP] [A] hanger steak au poivre [O] out of this world [S] good
three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world . [A] [S] [O]	[A] mussels [S] good [O] excellent [SSEP] [A] puff pastry goat cheese [S] good [O] excellent [SSEP] [A] salad with a delicious dressing [S] good [O] delicious [SSEP] [A] hanger steak au poivre [S] good [O] out of this world
three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world . [S] [O] [A]	[S] good [O] excellent [A] mussels [SSEP] [S] good [O] excellent [A] puff pastry goat cheese [SSEP] [S] good [O] delicious [A] salad with a delicious dressing [SSEP] [S] good [O] out of this world [A] hanger steak au poivre
the place is so cool and the service is prompt and curtious . [O] [A] [S]	[O] prompt [A] service [S] good [SSEP] [O] curtious [A] service [S] good [SSEP] [O] cool [A] place [S] good
the place is so cool and the service is prompt and curtious . [O] [S] [A]	[O] prompt [S] good [A] service [SSEP] [O] curtious [S] good [A] service [SSEP] [O] cool [S] good [A] place
the place is so cool and the service is prompt and curtious . [A] [O] [S]	[A] service [O] prompt [S] good [SSEP] [A] service [O] curtious [S] good [SSEP] [A] place [O] cool [S] good
the place is so cool and the service is prompt and curtious . [A] [S] [O]	[A] service [S] good [O] prompt [SSEP] [A] service [S] good [O] curtious [SSEP] [A] place [S] good [O] cool
the place is so cool and the service is prompt and curtious . [S] [O] [A]	[S] good [O] prompt [A] service [SSEP] [S] good [O] curtious [A] service [SSEP] [S] good [O] cool [A] place
at the end you 're left with a mild broth with noodles that you can slurp out of a cup . [O] [A] [S]	[O] mild [A] broth with noodles [S] good
at the end you 're left with a mild broth with noodles that you can slurp out of a cup . [O] [S] [A]	[O] mild [S] good [A] broth with noodles
at the end you 're left with a mild broth with noodles that you can slurp out of a cup . [A] [O] [S]	[A] broth with noodles [O] mild [S] good
at the end you 're left with a mild broth with noodles that you can slurp out of a cup . [A] [S] [O]	[A] broth with noodles [S] good [O] mild
at the end you 're left with a mild broth with noodles that you can slurp out of a cup . [S] [O] [A]	[S] good [O] mild [A] broth with noodles
i just wonder how you can have such a delicious meal for such little money . [O] [A] [S]	[O] delicious [A] meal [S] good [SSEP] [O] little [A] money [S] good
i just wonder how you can have such a delicious meal for such little money . [O] [S] [A]	[O] delicious [S] good [A] meal [SSEP] [O] little [S] good [A] money
i just wonder how you can have such a delicious meal for such little money . [A] [O] [S]	[A] meal [O] delicious [S] good [SSEP] [A] money [O] little [S] good
i just wonder how you can have such a delicious meal for such little money . [A] [S] [O]	[A] meal [S] good [O] delicious [SSEP] [A] money [S] good [O] little
i just wonder how you can have such a delicious meal for such little money . [S] [O] [A]	[S] good [O] delicious [A] meal [SSEP] [S] good [O] little [A] money
the wine list is excellent . [O] [A] [S]	[O] excellent [A] wine list [S] good
the wine list is excellent . [O] [S] [A]	[O] excellent [S] good [A] wine list
the wine list is excellent . [A] [O] [S]	[A] wine list [O] excellent [S] good
the wine list is excellent . [A] [S] [O]	[A] wine list [S] good [O] excellent
the wine list is excellent . [S] [O] [A]	[S] good [O] excellent [A] wine list
ive been to many thai restaurants in manhattan before , and toons is by far the best thai food ive had ( except for my mom 's of course ) . [O] [A] [S]	[O] best [A] thai food [S] good
ive been to many thai restaurants in manhattan before , and toons is by far the best thai food ive had ( except for my mom 's of course ) . [O] [S] [A]	[O] best [S] good [A] thai food
ive been to many thai restaurants in manhattan before , and toons is by far the best thai food ive had ( except for my mom 's of course ) . [A] [O] [S]	[A] thai food [O] best [S] good
ive been to many thai restaurants in manhattan before , and toons is by far the best thai food ive had ( except for my mom 's of course ) . [A] [S] [O]	[A] thai food [S] good [O] best
ive been to many thai restaurants in manhattan before , and toons is by far the best thai food ive had ( except for my mom 's of course ) . [S] [O] [A]	[S] good [O] best [A] thai food
this is a consistently great place to dine for lunch or dinner . [O] [A] [S]	[O] great [A] dine [S] good
this is a consistently great place to dine for lunch or dinner . [O] [S] [A]	[O] great [S] good [A] dine
this is a consistently great place to dine for lunch or dinner . [A] [O] [S]	[A] dine [O] great [S] good
this is a consistently great place to dine for lunch or dinner . [A] [S] [O]	[A] dine [S] good [O] great
this is a consistently great place to dine for lunch or dinner . [S] [O] [A]	[S] good [O] great [A] dine
nice atmosphere , the service was very pleasant and the desert was good . [O] [A] [S]	[O] nice [A] atmosphere [S] good [SSEP] [O] pleasant [A] service [S] good [SSEP] [O] good [A] desert [S] good
nice atmosphere , the service was very pleasant and the desert was good . [O] [S] [A]	[O] nice [S] good [A] atmosphere [SSEP] [O] pleasant [S] good [A] service [SSEP] [O] good [S] good [A] desert
nice atmosphere , the service was very pleasant and the desert was good . [A] [O] [S]	[A] atmosphere [O] nice [S] good [SSEP] [A] service [O] pleasant [S] good [SSEP] [A] desert [O] good [S] good
nice atmosphere , the service was very pleasant and the desert was good . [A] [S] [O]	[A] atmosphere [S] good [O] nice [SSEP] [A] service [S] good [O] pleasant [SSEP] [A] desert [S] good [O] good
nice atmosphere , the service was very pleasant and the desert was good . [S] [O] [A]	[S] good [O] nice [A] atmosphere [SSEP] [S] good [O] pleasant [A] service [SSEP] [S] good [O] good [A] desert
after really enjoying ourselves at the bar we sat down at a table and had dinner . [O] [A] [S]	[O] enjoying [A] bar [S] good [SSEP] [O] enjoying [A] table [S] ok [SSEP] [O] enjoying [A] dinner [S] ok
after really enjoying ourselves at the bar we sat down at a table and had dinner . [O] [S] [A]	[O] enjoying [S] good [A] bar [SSEP] [O] enjoying [S] ok [A] table [SSEP] [O] enjoying [S] ok [A] dinner
after really enjoying ourselves at the bar we sat down at a table and had dinner . [A] [O] [S]	[A] bar [O] enjoying [S] good [SSEP] [A] table [O] enjoying [S] ok [SSEP] [A] dinner [O] enjoying [S] ok
after really enjoying ourselves at the bar we sat down at a table and had dinner . [A] [S] [O]	[A] bar [S] good [O] enjoying [SSEP] [A] table [S] ok [O] enjoying [SSEP] [A] dinner [S] ok [O] enjoying
after really enjoying ourselves at the bar we sat down at a table and had dinner . [S] [O] [A]	[S] good [O] enjoying [A] bar [SSEP] [S] ok [O] enjoying [A] table [SSEP] [S] ok [O] enjoying [A] dinner
i liked the beer selection ! [O] [A] [S]	[O] liked [A] beer selection [S] good
i liked the beer selection ! [O] [S] [A]	[O] liked [S] good [A] beer selection
i liked the beer selection ! [A] [O] [S]	[A] beer selection [O] liked [S] good
i liked the beer selection ! [A] [S] [O]	[A] beer selection [S] good [O] liked
i liked the beer selection ! [S] [O] [A]	[S] good [O] liked [A] beer selection
great food , good size menu , great service and an unpretentious setting . [O] [A] [S]	[O] great [A] food [S] good [SSEP] [O] good [A] menu [S] good [SSEP] [O] great [A] service [S] good [SSEP] [O] unpretentious [A] setting [S] good
great food , good size menu , great service and an unpretentious setting . [O] [S] [A]	[O] great [S] good [A] food [SSEP] [O] good [S] good [A] menu [SSEP] [O] great [S] good [A] service [SSEP] [O] unpretentious [S] good [A] setting
great food , good size menu , great service and an unpretentious setting . [A] [O] [S]	[A] food [O] great [S] good [SSEP] [A] menu [O] good [S] good [SSEP] [A] service [O] great [S] good [SSEP] [A] setting [O] unpretentious [S] good
great food , good size menu , great service and an unpretentious setting . [A] [S] [O]	[A] food [S] good [O] great [SSEP] [A] menu [S] good [O] good [SSEP] [A] service [S] good [O] great [SSEP] [A] setting [S] good [O] unpretentious
great food , good size menu , great service and an unpretentious setting . [S] [O] [A]	[S] good [O] great [A] food [SSEP] [S] good [O] good [A] menu [SSEP] [S] good [O] great [A] service [SSEP] [S] good [O] unpretentious [A] setting
wine list selection is good and wine-by-the-glass was generously filled to the top . [O] [A] [S]	[O] good [A] wine list selection [S] good [SSEP] [O] generously filled [A] wine-by-the-glass [S] good
wine list selection is good and wine-by-the-glass was generously filled to the top . [O] [S] [A]	[O] good [S] good [A] wine list selection [SSEP] [O] generously filled [S] good [A] wine-by-the-glass
wine list selection is good and wine-by-the-glass was generously filled to the top . [A] [O] [S]	[A] wine list selection [O] good [S] good [SSEP] [A] wine-by-the-glass [O] generously filled [S] good
wine list selection is good and wine-by-the-glass was generously filled to the top . [A] [S] [O]	[A] wine list selection [S] good [O] good [SSEP] [A] wine-by-the-glass [S] good [O] generously filled
wine list selection is good and wine-by-the-glass was generously filled to the top . [S] [O] [A]	[S] good [O] good [A] wine list selection [SSEP] [S] good [O] generously filled [A] wine-by-the-glass
the menu is very limited - i think we counted 4 or 5 entrees . [O] [A] [S]	[O] limited [A] menu [S] bad
the menu is very limited - i think we counted 4 or 5 entrees . [O] [S] [A]	[O] limited [S] bad [A] menu
the menu is very limited - i think we counted 4 or 5 entrees . [A] [O] [S]	[A] menu [O] limited [S] bad
the menu is very limited - i think we counted 4 or 5 entrees . [A] [S] [O]	[A] menu [S] bad [O] limited
the menu is very limited - i think we counted 4 or 5 entrees . [S] [O] [A]	[S] bad [O] limited [A] menu
the menu is limited but almost all of the dishes are excellent . [O] [A] [S]	[O] limited [A] menu [S] bad [SSEP] [O] excellent [A] dishes [S] good
the menu is limited but almost all of the dishes are excellent . [O] [S] [A]	[O] limited [S] bad [A] menu [SSEP] [O] excellent [S] good [A] dishes
the menu is limited but almost all of the dishes are excellent . [A] [O] [S]	[A] menu [O] limited [S] bad [SSEP] [A] dishes [O] excellent [S] good
the menu is limited but almost all of the dishes are excellent . [A] [S] [O]	[A] menu [S] bad [O] limited [SSEP] [A] dishes [S] good [O] excellent
the menu is limited but almost all of the dishes are excellent . [S] [O] [A]	[S] bad [O] limited [A] menu [SSEP] [S] good [O] excellent [A] dishes
great bagels , spreads and a good place to hang out in . [O] [A] [S]	[O] great [A] bagels [S] good [SSEP] [O] great [A] spreads [S] good
great bagels , spreads and a good place to hang out in . [O] [S] [A]	[O] great [S] good [A] bagels [SSEP] [O] great [S] good [A] spreads
great bagels , spreads and a good place to hang out in . [A] [O] [S]	[A] bagels [O] great [S] good [SSEP] [A] spreads [O] great [S] good
great bagels , spreads and a good place to hang out in . [A] [S] [O]	[A] bagels [S] good [O] great [SSEP] [A] spreads [S] good [O] great
great bagels , spreads and a good place to hang out in . [S] [O] [A]	[S] good [O] great [A] bagels [SSEP] [S] good [O] great [A] spreads
unfortunately , the food is outstanding , but everything else about this restaurant is the pits . [O] [A] [S]	[O] outstanding [A] food [S] good
unfortunately , the food is outstanding , but everything else about this restaurant is the pits . [O] [S] [A]	[O] outstanding [S] good [A] food
unfortunately , the food is outstanding , but everything else about this restaurant is the pits . [A] [O] [S]	[A] food [O] outstanding [S] good
unfortunately , the food is outstanding , but everything else about this restaurant is the pits . [A] [S] [O]	[A] food [S] good [O] outstanding
unfortunately , the food is outstanding , but everything else about this restaurant is the pits . [S] [O] [A]	[S] good [O] outstanding [A] food
we always have a delicious meal and always leave feeling satisfied . [O] [A] [S]	[O] delicious [A] meal [S] good
we always have a delicious meal and always leave feeling satisfied . [O] [S] [A]	[O] delicious [S] good [A] meal
we always have a delicious meal and always leave feeling satisfied . [A] [O] [S]	[A] meal [O] delicious [S] good
we always have a delicious meal and always leave feeling satisfied . [A] [S] [O]	[A] meal [S] good [O] delicious
we always have a delicious meal and always leave feeling satisfied . [S] [O] [A]	[S] good [O] delicious [A] meal
first went here to enjoy their garden terrace . [O] [A] [S]	[O] enjoy [A] garden terrace [S] good
first went here to enjoy their garden terrace . [O] [S] [A]	[O] enjoy [S] good [A] garden terrace
first went here to enjoy their garden terrace . [A] [O] [S]	[A] garden terrace [O] enjoy [S] good
first went here to enjoy their garden terrace . [A] [S] [O]	[A] garden terrace [S] good [O] enjoy
first went here to enjoy their garden terrace . [S] [O] [A]	[S] good [O] enjoy [A] garden terrace
the pizza was pretty good and huge . [O] [A] [S]	[O] good [A] pizza [S] good [SSEP] [O] huge [A] pizza [S] good
the pizza was pretty good and huge . [O] [S] [A]	[O] good [S] good [A] pizza [SSEP] [O] huge [S] good [A] pizza
the pizza was pretty good and huge . [A] [O] [S]	[A] pizza [O] good [S] good [SSEP] [A] pizza [O] huge [S] good
the pizza was pretty good and huge . [A] [S] [O]	[A] pizza [S] good [O] good [SSEP] [A] pizza [S] good [O] huge
the pizza was pretty good and huge . [S] [O] [A]	[S] good [O] good [A] pizza [SSEP] [S] good [O] huge [A] pizza
the cuisine from what i 've gathered is authentic taiwanese , though its very different from what i 've been accustomed to in taipei . [O] [A] [S]	[O] different [A] cuisine [S] ok
